PLAY_ID	SONG_ID	CLIENT_ID	PLAY_TS
44BB190BC2493964E053CF0A000AB546	6164	249	09/08/2016 09:16:34
44BB190BC24A3964E053CF0A000AB546	544	86	10/08/2016 13:54:52
44BB190BC24B3964E053CF0A000AB546	9648	589	08/08/2016 06:08:53
44BB190BC24C3964E053CF0A000AB546	7565	656	11/08/2016 17:30:41
44BB190BC24D3964E053CF0A000AB546	8995	348	11/08/2016 02:40:39
44BB190BC24E3964E053CF0A000AB546	4407	696	08/08/2016 07:30:41
44BB190BC24F3964E053CF0A000AB546	5839	315	10/08/2016 02:40:07
44BB190BC2503964E053CF0A000AB546	548	270	09/08/2016 20:45:31
44BB190BC2513964E053CF0A000AB546	376	642	09/08/2016 04:57:05
44BB190BC2523964E053CF0A000AB546	3403	812	08/08/2016 21:14:44
44BB190BC2533964E053CF0A000AB546	7256	154	09/08/2016 06:29:25
44BB190BC2543964E053CF0A000AB546	4291	449	08/08/2016 09:26:44
44BB190BC2553964E053CF0A000AB546	5722	923	08/08/2016 23:33:44
44BB190BC2563964E053CF0A000AB546	9857	801	08/08/2016 22:05:45
44BB190BC2573964E053CF0A000AB546	3122	98	09/08/2016 08:35:38
44BB190BC2583964E053CF0A000AB546	217	45	08/08/2016 13:20:32
44BB190BC2593964E053CF0A000AB546	3022	801	10/08/2016 17:06:46
44BB190BC25A3964E053CF0A000AB546	2246	673	09/08/2016 15:06:07
44BB190BC25B3964E053CF0A000AB546	2168	654	11/08/2016 13:30:29
44BB190BC25C3964E053CF0A000AB546	6482	395	11/08/2016 14:11:30
44BB190BC25D3964E053CF0A000AB546	8662	690	10/08/2016 23:16:57
44BB190BC25E3964E053CF0A000AB546	3817	186	08/08/2016 10:09:11
44BB190BC25F3964E053CF0A000AB546	308	472	09/08/2016 02:00:49
44BB190BC2603964E053CF0A000AB546	234	426	09/08/2016 23:46:18
44BB190BC2613964E053CF0A000AB546	3084	896	09/08/2016 15:39:16
44BB190BC2623964E053CF0A000AB546	8673	77	09/08/2016 06:13:43
44BB190BC2633964E053CF0A000AB546	6052	340	09/08/2016 18:34:49
44BB190BC2643964E053CF0A000AB546	9798	565	09/08/2016 22:36:51
44BB190BC2653964E053CF0A000AB546	6286	942	11/08/2016 05:30:58
44BB190BC2663964E053CF0A000AB546	2083	78	11/08/2016 09:01:55
44BB190BC2673964E053CF0A000AB546	9962	438	10/08/2016 10:54:38
44BB190BC2683964E053CF0A000AB546	9879	368	11/08/2016 22:46:45
44BB190BC2693964E053CF0A000AB546	3359	343	10/08/2016 06:41:47
44BB190BC26A3964E053CF0A000AB546	6105	45	09/08/2016 21:13:27
44BB190BC26B3964E053CF0A000AB546	6366	611	10/08/2016 18:57:52
44BB190BC26C3964E053CF0A000AB546	914	92	11/08/2016 00:00:27
44BB190BC26D3964E053CF0A000AB546	7222	822	11/08/2016 23:24:14
44BB190BC26E3964E053CF0A000AB546	3343	628	11/08/2016 20:07:03
44BB190BC26F3964E053CF0A000AB546	3834	495	10/08/2016 12:45:16
44BB190BC2703964E053CF0A000AB546	5500	590	09/08/2016 01:15:01
44BB190BC2713964E053CF0A000AB546	9498	27	11/08/2016 15:22:24
44BB190BC2723964E053CF0A000AB546	8846	12	11/08/2016 04:12:18
44BB190BC2733964E053CF0A000AB546	4849	644	08/08/2016 22:57:33
44BB190BC2743964E053CF0A000AB546	9828	478	08/08/2016 11:39:29
44BB190BC2753964E053CF0A000AB546	7859	242	11/08/2016 19:14:26
44BB190BC2763964E053CF0A000AB546	1411	72	10/08/2016 15:03:06
44BB190BC2773964E053CF0A000AB546	2357	351	11/08/2016 01:22:27
44BB190BC2783964E053CF0A000AB546	8012	543	10/08/2016 19:43:00
44BB190BC2793964E053CF0A000AB546	8036	380	11/08/2016 17:35:50
44BB190BC27A3964E053CF0A000AB546	2465	538	11/08/2016 19:54:20
44BB190BC27B3964E053CF0A000AB546	2503	286	09/08/2016 11:31:22
44BB190BC27C3964E053CF0A000AB546	4799	495	08/08/2016 05:24:15
